Natureza,Janeiro,Fevereiro,Marco,Abril,Maio,Junho,Julho,Agosto,Setembro,Outubro,Novembro,Dezembro,Total
HOMICÍDIO DOLOSO (2),236,233,241,230,228,227,259,228,253,270,218,286,2.909
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3),250,246,246,237,240,235,274,240,270,283,229,294,3.044
HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO,0,0,3,1,1,2,2,4,2,2,2,0,19
Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO,0,0,3,1,2,2,2,5,2,2,3,0,22
HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO,197,252,297,271,277,299,300,301,314,337,269,277,3.391
HOMICÍDIO CULPOSO OUTROS,7,8,11,13,2,6,13,8,9,11,9,13,110
TENTATIVA DE HOMICÍDIO,281,284,332,287,254,256,297,267,252,363,302,324,3.499
LESÃO CORPORAL SEGUIDA DE MORTE,8,10,9,10,5,11,9,4,8,10,5,5,94
LESÃO CORPORAL DOLOSA,10.606,10.829,12.904,11.114,10.401,9.562,10.235,11.052,10.249,12.205,11.303,11.689,132.149
LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO,3.936,4.231,5.382,4.727,5.566,5.485,5.492,5.765,5.205,5.374,5.291,5.186,61.640
LESÃO CORPORAL CULPOSA - OUTRAS,194,201,233,222,238,249,257,254,222,262,216,260,2.808
LATROCÍNIO,13,17,13,16,13,13,13,7,19,11,17,26,178
Nº DE VÍTIMAS EM LATROCÍNIO,13,17,13,16,13,13,13,7,19,11,17,26,178
TOTAL DE ESTUPRO (4),938,1.009,1.288,1.039,1.099,981,1.117,1.243,1.237,1.189,1.088,1.012,13.240
ESTUPRO,212,242,291,246,237,218,278,259,264,244,250,229,2.970
ESTUPRO DE VULNERÁVEL,726,767,997,793,862,763,839,984,973,945,838,783,10.270
TOTAL DE ROUBO - OUTROS (1),20.371,17.459,21.206,20.464,19.749,19.900,19.086,20.315,19.962,21.501,21.133,21.845,242.991
ROUBO - OUTROS,19.795,16.968,20.617,19.936,19.197,19.406,18.546,19.843,19.478,21.012,20.587,21.259,236.644
ROUBO DE VEÍCULO,2.936,2.660,3.625,3.041,3.303,3.265,3.332,3.448,3.316,3.982,4.233,4.580,41.721
ROUBO A BANCO,1,1,1,2,1,2,2,3,0,1,0,2,16
ROUBO DE CARGA,575,490,588,526,551,492,538,469,484,488,546,584,6.331
FURTO - OUTROS,42.583,37.601,50.090,46.991,49.342,49.519,44.805,50.010,46.397,49.288,48.403,47.581,562.610
FURTO DE VEÍCULO,7.113,6.744,8.511,7.597,7.727,7.604,8.170,8.724,8.613,8.825,9.034,8.000,96.662
